month,country,device,age_group,gender,sessions,conversions,revenue_gbp
2024-01,United States,Desktop,35-44,Female,516,9,2433.38
2024-01,United States,Desktop,35-44,Unknown,47,2,298.88
2024-01,United States,Desktop,45-54,Male,275,9,3119.21
2024-01,United States,Desktop,45-54,Female,534,41,8664.43
2024-01,United States,Desktop,45-54,Unknown,62,2,1176.98
2024-01,United States,Desktop,55-64,Male,276,22,4516.6
2024-01,United States,Desktop,55-64,Female,528,32,20353.69
2024-01,United States,Desktop,55-64,Unknown,11,0,0.0
2024-01,United States,Desktop,65+,Male,579,8,4196.42
2024-01,United States,Desktop,65+,Female,471,24,11235.58
2024-01,United States,Desktop,65+,Unknown,421,31,9775.32
2024-01,United States,Mobile,18-24,Male,318,9,3979.15
2024-01,United States,Mobile,18-24,Female,760,19,2565.24
2024-01,United States,Mobile,18-24,Unknown,301,15,7158.01
2024-01,United States,Mobile,25-34,Male,587,23,7100.58
2024-01,United States,Mobile,25-34,Female,534,20,6387.44
2024-01,United States,Mobile,25-34,Unknown,624,19,3560.35
2024-01,United States,Mobile,35-44,Male,792,32,17108.69
2024-01,United States,Mobile,35-44,Female,369,13,2339.5
2024-01,United States,Mobile,35-44,Unknown,526,20,2310.68
2024-01,United States,Mobile,45-54,Male,312,3,340.6
2024-01,United States,Mobile,45-54,Female,43,1,699.36
2024-01,United States,Mobile,45-54,Unknown,737,13,3035.36
2024-01,United States,Mobile,55-64,Male,789,28,13691.14
2024-01,United States,Mobile,55-64,Female,769,54,13845.94
2024-01,United States,Mobile,55-64,Unknown,632,28,15870.89
2024-01,United States,Mobile,65+,Male,91,0,0.0
2024-01,United States,Mobile,65+,Female,784,30,12746.92
2024-01,United States,Mobile,65+,Unknown,56,1,683.2
2024-01,United States,Tablet,18-24,Male,610,26,10966.26
2024-01,United States,Tablet,18-24,Female,16,0,0.0
2024-01,United States,Tablet,18-24,Unknown,578,10,6221.09
2024-01,United States,Tablet,25-34,Male,531,10,1856.95
2024-01,United States,Tablet,25-34,Female,126,2,386.03
2024-01,United States,Tablet,25-34,Unknown,20,0,0.0
2024-01,United States,Tablet,35-44,Male,132,3,2099.86
2024-01,United States,Tablet,35-44,Female,476,14,1410.83
2024-01,United States,Tablet,35-44,Unknown,82,4,1730.19
2024-01,United States,Tablet,45-54,Male,367,24,5685.69
2024-01,United States,Tablet,45-54,Female,713,12,2031.32
2024-01,United States,Tablet,45-54,Unknown,204,11,6551.88
2024-01,United States,Tablet,55-64,Male,757,24,6989.06
2024-01,United States,Tablet,55-64,Female,626,25,4684.28
2024-01,United States,Tablet,55-64,Unknown,615,28,5005.03
2024-01,United States,Tablet,65+,Male,662,43,15566.36
2024-01,United States,Tablet,65+,Female,102,6,2993.66
2024-01,United States,Tablet,65+,Unknown,765,37,4608.75
2024-01,Australia,Desktop,18-24,Male,609,28,3290.74
2024-01,Australia,Desktop,18-24,Female,742,8,1149.38
2024-01,Australia,Desktop,18-24,Unknown,717,12,3271.43
2024-01,Australia,Desktop,25-34,Male,694,52,12768.65
2024-01,Australia,Desktop,25-34,Female,70,2,1110.87
2024-01,Australia,Desktop,25-34,Unknown,631,28,18027.35
2024-01,Australia,Desktop,35-44,Male,744,21,8016.09
2024-01,Australia,Desktop,35-44,Female,333,13,7015.56
2024-01,Australia,Desktop,35-44,Unknown,506,24,4924.12
2024-01,Australia,Desktop,45-54,Male,516,29,19018.29
2024-01,Australia,Desktop,45-54,Female,186,6,3321.63
2024-01,Australia,Desktop,45-54,Unknown,403,29,14079.07
2024-01,Australia,Desktop,55-64,Male,774,44,10401.89
2024-01,Australia,Desktop,55-64,Female,451,28,14016.26
2024-01,Australia,Desktop,55-64,Unknown,86,5,2361.7
2024-01,Australia,Desktop,65+,Male,724,29,19102.24
2024-01,Australia,Desktop,65+,Female,724,48,16391.93
2024-01,Australia,Desktop,65+,Unknown,464,14,4188.24
2024-01,Australia,Mobile,18-24,Male,265,9,3562.13
2024-01,Australia,Mobile,18-24,Female,303,15,7780.85
2024-01,Australia,Mobile,18-24,Unknown,26,1,211.94
2024-01,Australia,Mobile,25-34,Male,716,7,2460.23
2024-01,Australia,Mobile,25-34,Female,772,38,4913.53
2024-01,Australia,Mobile,25-34,Unknown,245,17,7002.18
2024-01,Australia,Mobile,35-44,Male,642,25,8158.93
2024-01,Australia,Mobile,35-44,Female,585,21,7396.77
2024-01,Australia,Mobile,35-44,Unknown,200,8,2112.17
2024-01,Australia,Mobile,45-54,Male,360,4,1357.78
2024-01,Australia,Mobile,45-54,Female,123,4,2623.46
2024-01,Australia,Mobile,45-54,Unknown,340,16,4468.87
2024-01,Australia,Mobile,55-64,Male,720,10,3146.29
2024-01,Australia,Mobile,55-64,Female,511,23,4983.43
2024-01,Australia,Mobile,55-64,Unknown,581,30,5893.12
2024-01,Australia,Mobile,65+,Male,494,18,4709.02
2024-01,Australia,Mobile,65+,Female,373,25,15395.22
2024-01,Australia,Mobile,65+,Unknown,152,10,5869.55
2024-01,Australia,Tablet,18-24,Male,429,24,5861.59
2024-01,Australia,Tablet,18-24,Female,121,3,682.67
2024-01,Australia,Tablet,18-24,Unknown,414,26,6872.94
2024-01,Australia,Tablet,25-34,Male,368,6,998.2
2024-01,Australia,Tablet,25-34,Female,271,7,4367.04
2024-01,Australia,Tablet,25-34,Unknown,484,15,4542.33
2024-01,Australia,Tablet,35-44,Male,372,25,11274.39
2024-01,Australia,Tablet,35-44,Female,32,0,0.0
2024-01,Australia,Tablet,35-44,Unknown,649,7,1865.71
2024-01,Australia,Tablet,45-54,Male,301,4,2792.2
2024-01,Australia,Tablet,45-54,Female,178,9,4251.15
2024-01,Australia,Tablet,45-54,Unknown,276,14,4414.23
2024-01,Australia,Tablet,55-64,Male,745,51,14958.05
2024-01,Australia,Tablet,55-64,Female,434,28,11626.06
2024-01,Australia,Tablet,55-64,Unknown,188,5,3234.95
2024-01,Australia,Tablet,65+,Male,120,4,841.17
2024-01,Australia,Tablet,65+,Female,706,37,5712.34
2024-01,Australia,Tablet,65+,Unknown,134,5,3353.84
2024-01,Canada,Desktop,18-24,Male,484,32,3707.7
2024-01,Canada,Desktop,18-24,Female,78,3,1969.7
2024-01,Canada,Desktop,18-24,Unknown,149,2,1021.4
2024-01,Canada,Desktop,25-34,Male,476,34,11201.97
2024-01,Canada,Desktop,25-34,Female,175,12,7206.33
2024-01,Canada,Desktop,25-34,Unknown,323,25,14791.1
2024-01,Canada,Desktop,35-44,Male,603,47,8115.3
2024-01,Canada,Desktop,35-44,Female,192,4,508.38
2024-01,Canada,Desktop,35-44,Unknown,429,32,10079.2
2024-01,Canada,Desktop,45-54,Male,156,2,314.26
2024-01,Canada,Desktop,45-54,Female,472,8,1948.93
2024-01,Canada,Desktop,45-54,Unknown,202,7,1647.91
2024-01,Canada,Desktop,55-64,Male,487,7,959.54
2024-01,Canada,Desktop,55-64,Female,55,0,0.0
2024-01,Canada,Desktop,55-64,Unknown,521,20,6521.39
2024-01,Canada,Desktop,65+,Male,155,5,2646.63
2024-01,Canada,Desktop,65+,Female,544,32,4428.61
2024-01,Canada,Desktop,65+,Unknown,594,20,9196.43
2024-01,Canada,Mobile,18-24,Male,11,0,0.0
2024-01,Canada,Mobile,18-24,Female,651,13,1303.67
2024-01,Canada,Mobile,18-24,Unknown,637,21,12227.9
2024-01,Canada,Mobile,25-34,Male,181,11,1646.77
2024-01,Canada,Mobile,25-34,Female,314,16,6068.54
2024-01,Canada,Mobile,25-34,Unknown,627,39,10565.81
2024-01,Canada,Mobile,35-44,Male,307,12,3273.17
2024-01,Canada,Mobile,35-44,Female,203,2,1088.11
2024-01,Canada,Mobile,35-44,Unknown,495,37,11530.91
2024-01,Canada,Mobile,45-54,Male,545,32,5204.67
2024-01,Canada,Mobile,45-54,Female,73,3,1198.12
2024-01,Canada,Mobile,45-54,Unknown,775,46,13983.48
2024-01,Canada,Mobile,55-64,Male,282,15,7332.92
2024-01,Canada,Mobile,55-64,Female,610,8,927.21
2024-01,Canada,Mobile,55-64,Unknown,464,22,13042.04
2024-01,Canada,Mobile,65+,Male,521,22,2925.26
2024-01,Canada,Mobile,65+,Female,533,35,16623.9
2024-01,Canada,Mobile,65+,Unknown,133,3,1515.31
2024-01,Canada,Tablet,18-24,Male,318,17,8633.48
2024-01,Canada,Tablet,18-24,Female,359,13,7742.06
2024-01,Canada,Tablet,18-24,Unknown,509,12,2971.74
2024-01,Canada,Tablet,25-34,Male,129,7,1217.04
2024-01,Canada,Tablet,25-34,Female,291,6,3728.42
2024-01,Canada,Tablet,25-34,Unknown,309,16,8516.43
2024-01,Canada,Tablet,35-44,Male,521,18,4183.24
2024-01,Canada,Tablet,35-44,Female,403,6,3644.89
2024-01,Canada,Tablet,35-44,Unknown,488,11,1364.28
2024-01,Canada,Tablet,45-54,Male,751,20,11962.14
2024-01,Canada,Tablet,45-54,Female,620,16,8822.48
2024-01,Canada,Tablet,45-54,Unknown,456,26,16229.74
2024-01,Canada,Tablet,55-64,Male,565,8,1487.37
2024-01,Canada,Tablet,55-64,Female,355,18,8564.79
2024-01,Canada,Tablet,55-64,Unknown,682,24,5405.16
2024-01,Canada,Tablet,65+,Male,777,48,20218.73
2024-01,Canada,Tablet,65+,Female,213,9,3890.22
2024-01,Canada,Tablet,65+,Unknown,643,28,8553.98
2024-01,Germany,Desktop,18-24,Male,66,5,3186.55
2024-01,Germany,Desktop,18-24,Female,736,14,2191.68
2024-01,Germany,Desktop,18-24,Unknown,625,35,4137.01
2024-01,Germany,Desktop,25-34,Male,316,10,5201.98
2024-01,Germany,Desktop,25-34,Female,320,7,2569.49
2024-01,Germany,Desktop,25-34,Unknown,636,16,10119.88
2024-01,Germany,Desktop,35-44,Male,60,1,209.85
2024-01,Germany,Desktop,35-44,Female,230,17,3950.2
2024-01,Germany,Desktop,35-44,Unknown,648,17,11391.86
2024-01,Germany,Desktop,45-54,Male,298,11,7240.33
2024-01,Germany,Desktop,45-54,Female,314,13,4503.72
2024-01,Germany,Desktop,45-54,Unknown,427,19,8610.96
2024-01,Germany,Desktop,55-64,Male,136,4,2325.21
2024-01,Germany,Desktop,55-64,Female,237,8,1377.51
2024-01,Germany,Desktop,55-64,Unknown,252,13,3756.23
2024-01,Germany,Desktop,65+,Male,767,38,25931.84
2024-01,Germany,Desktop,65+,Female,340,12,7887.43
2024-01,Germany,Desktop,65+,Unknown,688,13,6542.91
2024-01,Germany,Mobile,18-24,Male,694,44,24218.32
2024-01,Germany,Mobile,18-24,Female,701,41,8511.35
2024-01,Germany,Mobile,18-24,Unknown,756,46,23979.43
2024-01,Germany,Mobile,25-34,Male,494,25,5732.66
2024-01,Germany,Mobile,25-34,Female,551,15,2746.35
2024-01,Germany,Mobile,25-34,Unknown,113,2,724.5
2024-01,Germany,Mobile,35-44,Male,628,22,2257.69
2024-01,Germany,Mobile,35-44,Female,126,2,1271.58
2024-01,Germany,Mobile,35-44,Unknown,374,29,14898.58
2024-01,Germany,Mobile,45-54,Male,685,38,19737.91
2024-01,Germany,Mobile,45-54,Female,236,8,3165.18
2024-01,Germany,Mobile,45-54,Unknown,458,32,5829.25
2024-01,Germany,Mobile,55-64,Male,101,4,2075.47
2024-01,Germany,Mobile,55-64,Female,51,0,0.0
2024-01,Germany,Mobile,55-64,Unknown,492,9,2480.07
2024-01,Germany,Mobile,65+,Male,448,30,19987.38
2024-01,Germany,Mobile,65+,Female,758,48,10360.35
2024-01,Germany,Mobile,65+,Unknown,519,37,19093.82
2024-01,Germany,Tablet,18-24,Male,741,43,11258.94
2024-01,Germany,Tablet,18-24,Female,60,4,1571.77
2024-01,Germany,Tablet,18-24,Unknown,615,25,8431.36
2024-01,Germany,Tablet,25-34,Male,331,8,1475.0
2024-01,Germany,Tablet,25-34,Female,691,54,22255.13
2024-01,Germany,Tablet,25-34,Unknown,168,3,2079.19
2024-01,Germany,Tablet,35-44,Male,707,47,5463.28
2024-01,Germany,Tablet,35-44,Female,759,10,6328.69
2024-01,Germany,Tablet,35-44,Unknown,543,16,10413.82
2024-01,Germany,Tablet,45-54,Male,109,7,3947.59
2024-01,Germany,Tablet,45-54,Female,697,16,11131.37
2024-01,Germany,Tablet,45-54,Unknown,177,12,6065.0
2024-01,Germany,Tablet,55-64,Male,311,23,9331.22
2024-01,Germany,Tablet,55-64,Female,751,43,19915.5
2024-01,Germany,Tablet,55-64,Unknown,404,24,3635.43
2024-01,Germany,Tablet,65+,Male,173,1,301.34
2024-01,Germany,Tablet,65+,Female,544,28,7605.48
2024-01,Germany,Tablet,65+,Unknown,353,26,4676.06
2024-01,France,Desktop,18-24,Male,454,16,5625.34
2024-01,France,Desktop,18-24,Female,458,31,5215.28
2024-01,France,Desktop,18-24,Unknown,158,4,1287.02
2024-01,France,Desktop,25-34,Male,695,51,33574.17
2024-01,France,Desktop,25-34,Female,305,20,13629.48
2024-01,France,Desktop,25-34,Unknown,700,10,6393.53
2024-01,France,Desktop,35-44,Male,240,4,1227.95
2024-01,France,Desktop,35-44,Female,720,43,27380.08
2024-01,France,Desktop,35-44,Unknown,517,24,3102.54
2024-01,France,Desktop,45-54,Male,761,46,20527.33
2024-01,France,Desktop,45-54,Female,608,37,10045.68
2024-01,France,Desktop,45-54,Unknown,514,7,958.03
2024-01,France,Desktop,55-64,Male,201,6,1985.86
2024-01,France,Desktop,55-64,Female,412,6,1368.88
2024-01,France,Desktop,55-64,Unknown,270,12,5912.62
2024-01,France,Desktop,65+,Male,226,12,4636.65
2024-01,France,Desktop,65+,Female,371,12,1559.56
2024-01,France,Desktop,65+,Unknown,43,2,323.73
2024-01,France,Mobile,18-24,Male,328,24,7892.64
2024-01,France,Mobile,18-24,Female,363,16,9430.16
2024-01,France,Mobile,18-24,Unknown,443,5,3386.2
2024-01,France,Mobile,25-34,Male,490,10,3775.54
2024-01,France,Mobile,25-34,Female,730,12,7661.7
2024-01,France,Mobile,25-34,Unknown,426,20,10439.41
2024-01,France,Mobile,35-44,Male,392,6,936.27
2024-01,France,Mobile,35-44,Female,298,22,7800.67
2024-01,France,Mobile,35-44,Unknown,641,50,8384.68
2024-01,France,Mobile,45-54,Male,459,19,11380.29
2024-01,France,Mobile,45-54,Female,356,17,8970.63
2024-01,France,Mobile,45-54,Unknown,169,4,1393.18
2024-01,France,Mobile,55-64,Male,386,4,1170.03
2024-01,France,Mobile,55-64,Female,32,2,843.57
2024-01,France,Mobile,55-64,Unknown,306,8,3889.39
2024-01,France,Mobile,65+,Male,62,2,592.58
2024-01,France,Mobile,65+,Female,567,27,6700.0
2024-01,France,Mobile,65+,Unknown,761,60,26826.09
2024-01,France,Tablet,18-24,Male,478,30,5935.7
2024-01,France,Tablet,18-24,Female,135,5,926.08
2024-01,France,Tablet,18-24,Unknown,379,24,9340.48
2024-01,France,Tablet,25-34,Male,452,6,1788.9
2024-01,France,Tablet,25-34,Female,653,48,17119.4
2024-01,France,Tablet,25-34,Unknown,393,27,2769.67
2024-01,France,Tablet,35-44,Male,701,16,3055.6
2024-01,France,Tablet,35-44,Female,417,10,6405.7
2024-01,France,Tablet,35-44,Unknown,375,16,5288.79
2024-01,France,Tablet,45-54,Male,478,31,7228.8
2024-01,France,Tablet,45-54,Female,260,14,8212.45
2024-01,France,Tablet,45-54,Unknown,570,12,2105.63
2024-01,France,Tablet,55-64,Male,419,31,11032.33
2024-01,France,Tablet,55-64,Female,774,7,2986.35
2024-01,France,Tablet,55-64,Unknown,656,49,5125.03
2024-01,France,Tablet,65+,Male,733,54,9452.0
2024-01,France,Tablet,65+,Female,580,6,2244.05
2024-01,France,Tablet,65+,Unknown,664,32,16928.47
2024-01,Ireland,Desktop,18-24,Male,141,6,2310.42
2024-01,Ireland,Desktop,18-24,Female,370,23,12728.22
2024-01,Ireland,Desktop,18-24,Unknown,105,6,1652.96
2024-01,Ireland,Desktop,25-34,Male,262,15,5826.58
2024-01,Ireland,Desktop,25-34,Female,408,15,1509.87
2024-01,Ireland,Desktop,25-34,Unknown,486,5,3222.2
2024-01,Ireland,Desktop,35-44,Male,125,1,184.93
2024-01,Ireland,Desktop,35-44,Female,687,13,3602.59
2024-01,Ireland,Desktop,35-44,Unknown,239,6,3040.12
2024-01,Ireland,Desktop,45-54,Male,50,3,1170.17
2024-01,Ireland,Desktop,45-54,Female,659,37,25577.11
2024-01,Ireland,Desktop,45-54,Unknown,84,4,2627.01
2024-01,Ireland,Desktop,55-64,Male,572,22,3788.09
2024-01,Ireland,Desktop,55-64,Female,467,25,4125.05
2024-01,Ireland,Desktop,55-64,Unknown,298,15,4648.8
2024-01,Ireland,Desktop,65+,Male,325,20,6880.64
2024-01,Ireland,Desktop,65+,Female,42,2,1017.51
2024-01,Ireland,Desktop,65+,Unknown,423,11,2997.98
2024-01,Ireland,Mobile,18-24,Male,220,2,1056.08
2024-01,Ireland,Mobile,18-24,Female,130,9,5433.98
2024-01,Ireland,Mobile,18-24,Unknown,756,59,19347.11
2024-01,Ireland,Mobile,25-34,Male,572,13,4879.37
2024-01,Ireland,Mobile,25-34,Female,168,9,1586.79
2024-01,Ireland,Mobile,25-34,Unknown,79,1,255.02
2024-01,Ireland,Mobile,35-44,Male,787,46,17258.87
2024-01,Ireland,Mobile,35-44,Female,295,8,4024.46
2024-01,Ireland,Mobile,35-44,Unknown,342,21,6315.64
2024-01,Ireland,Mobile,45-54,Male,632,32,4786.23
2024-01,Ireland,Mobile,45-54,Female,756,9,4691.33
2024-01,Ireland,Mobile,45-54,Unknown,44,1,597.28
2024-01,Ireland,Mobile,55-64,Male,129,1,402.35
2024-01,Ireland,Mobile,55-64,Female,116,3,1329.28
2024-01,Ireland,Mobile,55-64,Unknown,175,4,1524.94
2024-01,Ireland,Mobile,65+,Male,275,11,4771.62
2024-01,Ireland,Mobile,65+,Female,684,17,4648.03
2024-01,Ireland,Mobile,65+,Unknown,405,9,3556.78
2024-01,Ireland,Tablet,18-24,Male,80,1,270.21
2024-01,Ireland,Tablet,18-24,Female,328,16,9454.74
2024-01,Ireland,Tablet,18-24,Unknown,313,24,12636.68
2024-01,Ireland,Tablet,25-34,Male,740,58,19279.38
2024-01,Ireland,Tablet,25-34,Female,234,15,8810.82
2024-01,Ireland,Tablet,25-34,Unknown,28,0,0.0
2024-01,Ireland,Tablet,35-44,Male,760,44,25976.37
2024-01,Ireland,Tablet,35-44,Female,332,11,6239.29
2024-01,Ireland,Tablet,35-44,Unknown,122,4,1199.37
2024-01,Ireland,Tablet,45-54,Male,688,35,6995.37
2024-01,Ireland,Tablet,45-54,Female,579,32,8769.89
2024-01,Ireland,Tablet,45-54,Unknown,41,0,0.0
2024-01,Ireland,Tablet,55-64,Male,543,10,4276.63
2024-01,Ireland,Tablet,55-64,Female,534,8,3999.39
2024-01,Ireland,Tablet,55-64,Unknown,307,3,454.83
2024-01,Ireland,Tablet,65+,Male,29,1,267.88
2024-01,Ireland,Tablet,65+,Female,660,29,4893.02
2024-01,Ireland,Tablet,65+,Unknown,763,18,2415.82
2024-02,United Kingdom,Desktop,18-24,Male,519,31,21483.35
2024-02,United Kingdom,Desktop,18-24,Female,263,10,4932.73
2024-02,United Kingdom,Desktop,18-24,Unknown,181,9,5018.19
2024-02,United Kingdom,Desktop,25-34,Male,718,47,7221.34
2024-02,United Kingdom,Desktop,25-34,Female,55,3,1360.8
2024-02,United Kingdom,Desktop,25-34,Unknown,425,21,5058.43
2024-02,United Kingdom,Desktop,35-44,Male,446,20,10725.42
2024-02,United Kingdom,Desktop,35-44,Female,649,20,11887.4
2024-02,United Kingdom,Desktop,35-44,Unknown,774,17,8265.71
2024-02,United Kingdom,Desktop,45-54,Male,759,25,16777.59
2024-02,United Kingdom,Desktop,45-54,Female,60,2,1331.99
2024-02,United Kingdom,Desktop,45-54,Unknown,607,32,4170.99
2024-02,United Kingdom,Desktop,55-64,Male,594,7,1802.55
2024-02,United Kingdom,Desktop,55-64,Female,184,7,2483.73
2024-02,United Kingdom,Desktop,55-64,Unknown,201,7,1415.65
2024-02,United Kingdom,Desktop,65+,Male,733,8,4586.57
2024-02,United Kingdom,Desktop,65+,Female,75,5,2523.14
2024-02,United Kingdom,Desktop,65+,Unknown,348,5,3059.15
2024-02,United Kingdom,Mobile,18-24,Male,693,34,19308.12
2024-02,United Kingdom,Mobile,18-24,Female,716,56,31441.88
2024-02,United Kingdom,Mobile,18-24,Unknown,678,48,31047.18
2024-02,United Kingdom,Mobile,25-34,Male,184,14,8650.58
2024-02,United Kingdom,Mobile,25-34,Female,79,6,3051.17
2024-02,United Kingdom,Mobile,25-34,Unknown,758,43,23435.39
2024-02,United Kingdom,Mobile,35-44,Male,16,0,0.0
2024-02,United Kingdom,Mobile,35-44,Female,170,7,2816.12
2024-02,United Kingdom,Mobile,35-44,Unknown,783,13,5859.33
2024-02,United Kingdom,Mobile,45-54,Male,108,3,1501.08
2024-02,United Kingdom,Mobile,45-54,Female,489,21,7243.22
2024-02,United Kingdom,Mobile,45-54,Unknown,692,38,21070.27
2024-02,United Kingdom,Mobile,55-64,Male,92,6,2137.71
2024-02,United Kingdom,Mobile,55-64,Female,555,9,3574.29
2024-02,United Kingdom,Mobile,55-64,Unknown,324,23,11383.19
2024-02,United Kingdom,Mobile,65+,Male,438,33,11401.51
2024-02,United Kingdom,Mobile,65+,Female,196,9,5792.68
2024-02,United Kingdom,Mobile,65+,Unknown,536,6,3223.35
2024-02,United Kingdom,Tablet,18-24,Male,323,20,9678.56
2024-02,United Kingdom,Tablet,18-24,Female,373,14,6373.85
2024-02,United Kingdom,Tablet,18-24,Unknown,155,6,2197.87
2024-02,United Kingdom,Tablet,25-34,Male,666,30,13257.77
2024-02,United Kingdom,Tablet,25-34,Female,553,22,7441.48
2024-02,United Kingdom,Tablet,25-34,Unknown,760,60,17695.13
2024-02,United Kingdom,Tablet,35-44,Male,157,11,5074.69
2024-02,United Kingdom,Tablet,35-44,Female,714,34,15827.6
2024-02,United Kingdom,Tablet,35-44,Unknown,376,19,4656.95
2024-02,United Kingdom,Tablet,45-54,Male,261,12,2176.17
2024-02,United Kingdom,Tablet,45-54,Female,279,12,4546.94
2024-02,United Kingdom,Tablet,45-54,Unknown,352,27,16242.32
2024-02,United Kingdom,Tablet,55-64,Male,310,3,1809.49
2024-02,United Kingdom,Tablet,55-64,Female,730,26,14176.01
2024-02,United Kingdom,Tablet,55-64,Unknown,29,0,0.0
2024-02,United Kingdom,Tablet,65+,Male,571,43,7519.8
2024-02,United Kingdom,Tablet,65+,Female,358,25,14210.63
2024-02,United Kingdom,Tablet,65+,Unknown,270,13,2770.07
2024-02,United States,Desktop,18-24,Male,65,4,1816.56
2024-02,United States,Desktop,18-24,Female,759,26,8785.11
2024-02,United States,Desktop,18-24,Unknown,643,30,10945.22
2024-02,United States,Desktop,25-34,Male,522,35,9975.77
2024-02,United States,Desktop,25-34,Female,348,4,1963.57
2024-02,United States,Desktop,25-34,Unknown,621,6,2772.49
2024-02,United States,Desktop,35-44,Male,216,11,5314.74
2024-02,United States,Desktop,35-44,Female,423,17,10219.76
2024-02,United States,Desktop,35-44,Unknown,398,21,14604.47
2024-02,United States,Desktop,45-54,Male,504,27,15237.85
2024-02,United States,Desktop,45-54,Female,475,5,805.03
2024-02,United States,Desktop,45-54,Unknown,702,23,2482.06
2024-02,United States,Desktop,55-64,Male,518,19,9031.43
2024-02,United States,Desktop,55-64,Female,399,8,4420.33
2024-02,United States,Desktop,55-64,Unknown,28,1,460.44
2024-02,United States,Desktop,65+,Male,127,2,472.47
2024-02,United States,Desktop,65+,Female,159,8,4740.03
2024-02,United States,Desktop,65+,Unknown,510,5,1004.44
2024-02,United States,Mobile,18-24,Male,43,2,798.17
2024-02,United States,Mobile,18-24,Female,164,12,7049.18
