date,channel,sessions,users,new_users,pageviews,bounce_rate,avg_session_duration_sec,conversions,revenue_gbp
2024-01-16,Email,302,221,147,1083,0.4011,297.3,5,2283.2
2024-01-16,Referral,272,206,93,1096,0.6785,236.2,4,1769.85
2024-01-16,Display,200,162,98,623,0.405,279.8,3,1202.48
2024-01-17,Organic Search,1174,889,527,4084,0.7169,136.8,69,41435.04
2024-01-17,Paid Search,707,573,356,2748,0.3206,217.7,24,18720.8
2024-01-17,Social Media,552,467,281,1625,0.5674,221.4,24,15510.67
2024-01-17,Direct,529,451,273,2257,0.5715,140.3,16,8689.42
2024-01-17,Email,360,264,138,1401,0.3738,94.4,13,10779.44
2024-01-17,Referral,297,257,169,806,0.6464,185.3,14,9309.84
2024-01-17,Display,200,147,101,487,0.7059,283.6,9,7518.22
2024-01-18,Organic Search,1350,1145,619,5396,0.3058,199.5,44,26891.25
2024-01-18,Paid Search,800,650,426,3485,0.3455,120.8,9,6889.42
2024-01-18,Social Media,603,522,263,1357,0.646,296.4,15,6270.84
2024-01-18,Direct,452,393,206,1483,0.3408,290.7,7,3158.12
2024-01-18,Email,355,297,203,1102,0.6118,100.2,10,1922.86
2024-01-18,Referral,295,231,158,642,0.4556,175.3,16,11911.66
2024-01-18,Display,186,154,90,827,0.4506,163.5,3,627.53
2024-01-19,Organic Search,1312,1040,640,4775,0.5508,65.6,64,19059.54
2024-01-19,Paid Search,678,549,256,2668,0.387,116.1,36,12954.55
2024-01-19,Social Media,531,458,206,2209,0.3608,93.8,11,2721.21
2024-01-19,Direct,534,386,175,2133,0.3999,144.2,9,1424.26
2024-01-19,Email,364,292,185,1180,0.6268,193.4,5,2439.01
2024-01-19,Referral,336,244,157,1404,0.519,179.1,19,3123.65
2024-01-19,Display,210,164,101,688,0.6821,79.1,2,1128.11
2024-01-20,Organic Search,674,514,312,2302,0.4366,318.6,24,10829.09
2024-01-20,Paid Search,514,378,236,2131,0.5734,259.9,23,6370.24
2024-01-20,Social Media,382,289,154,1217,0.4747,84.7,11,6660.82
2024-01-20,Direct,319,237,161,721,0.6493,84.2,4,2637.28
2024-01-20,Email,242,195,116,834,0.4385,91.8,6,3634.19
2024-01-20,Referral,208,178,112,920,0.5522,151.4,8,2202.39
2024-01-20,Display,145,109,51,598,0.4544,258.3,5,3546.36
2024-01-21,Organic Search,859,752,492,3068,0.5699,66.8,48,34824.31
2024-01-21,Paid Search,465,348,217,1321,0.4427,61.6,24,12801.95
2024-01-21,Social Media,377,279,169,819,0.6134,115.9,11,4057.39
2024-01-21,Direct,320,267,172,1107,0.3357,73.7,5,2855.11
2024-01-21,Email,234,178,109,764,0.4857,131.0,11,2233.95
2024-01-21,Referral,190,145,89,620,0.5802,71.8,5,2787.54
2024-01-21,Display,118,90,45,286,0.4073,145.3,1,665.32
2024-01-22,Organic Search,1086,847,530,3584,0.65,269.6,14,10487.23
2024-01-22,Paid Search,667,482,327,2780,0.5418,209.1,30,12747.5
2024-01-22,Social Media,532,384,203,2140,0.5596,276.3,29,5345.71
2024-01-22,Direct,569,431,257,1910,0.4662,140.7,15,5447.1
2024-01-22,Email,309,247,118,1027,0.6805,150.8,14,10049.65
2024-01-22,Referral,329,249,121,846,0.553,257.7,14,3490.43
2024-01-22,Display,232,185,118,910,0.4885,300.3,8,4670.14
2024-01-23,Organic Search,1253,1075,652,3085,0.3287,175.0,31,9935.87
2024-01-23,Paid Search,673,539,284,2143,0.3239,276.2,9,6758.12
2024-01-23,Social Media,668,546,314,2144,0.5328,265.9,36,16139.0
2024-01-23,Direct,565,465,246,1831,0.3634,76.1,8,6210.9
2024-01-23,Email,328,273,157,824,0.4041,173.8,10,5016.06
2024-01-23,Referral,271,211,109,834,0.4421,215.5,13,7702.93
2024-01-23,Display,187,137,84,520,0.604,230.7,10,7574.94
2024-01-24,Organic Search,1153,937,454,3389,0.7064,241.6,34,18848.92
2024-01-24,Paid Search,882,678,368,3527,0.6415,234.2,45,29668.75
2024-01-24,Social Media,640,514,314,1994,0.452,154.3,12,3316.33
2024-01-24,Direct,590,470,238,1433,0.3324,279.6,8,5461.91
2024-01-24,Email,381,328,150,1108,0.6218,94.1,10,2384.4
2024-01-24,Referral,333,280,182,831,0.4838,166.8,14,4107.56
2024-01-24,Display,213,163,103,676,0.5243,140.5,10,4623.81
2024-01-25,Organic Search,1341,1044,717,5984,0.4939,133.3,39,19696.78
2024-01-25,Paid Search,893,759,493,2171,0.405,226.7,47,24666.29
2024-01-25,Social Media,537,459,304,1495,0.6205,130.9,29,6599.37
2024-01-25,Direct,512,446,225,1629,0.4468,66.9,6,2918.79
2024-01-25,Email,320,281,152,693,0.6909,278.2,13,9070.2
2024-01-25,Referral,271,207,136,1021,0.3583,243.4,8,990.67
2024-01-25,Display,190,144,94,649,0.6054,197.2,2,660.63
2024-01-26,Organic Search,1151,837,464,4610,0.492,88.8,63,35004.03
2024-01-26,Paid Search,673,540,275,1645,0.4803,219.9,14,5937.32
2024-01-26,Social Media,642,471,326,1452,0.5209,191.9,38,19932.18
2024-01-26,Direct,507,403,245,2258,0.4065,64.2,25,9292.65
2024-01-26,Email,374,306,196,1445,0.4397,71.5,13,9280.2
2024-01-26,Referral,276,233,131,1040,0.5653,271.0,3,2059.86
2024-01-26,Display,215,164,75,554,0.3176,302.7,7,5894.42
2024-01-27,Organic Search,809,615,392,2069,0.4499,263.0,43,15579.12
2024-01-27,Paid Search,456,355,238,1771,0.6757,160.5,26,12537.94
2024-01-27,Social Media,399,346,200,1605,0.6054,80.5,16,11524.95
2024-01-27,Direct,347,267,125,1279,0.4287,216.7,10,6235.28
2024-01-27,Email,218,158,105,642,0.7192,131.4,12,9743.64
2024-01-27,Referral,174,143,77,699,0.5854,307.7,2,1127.06
2024-01-27,Display,154,111,51,611,0.4539,159.5,5,2808.6
2024-01-28,Organic Search,846,737,400,3325,0.541,197.7,25,14854.48
2024-01-28,Paid Search,477,352,223,1573,0.4625,206.0,11,3410.13
2024-01-28,Social Media,395,347,180,1698,0.5063,91.9,20,8999.82
2024-01-28,Direct,385,304,143,1438,0.6551,143.1,10,1674.06
2024-01-28,Email,232,200,132,883,0.6895,225.8,11,5405.31
2024-01-28,Referral,178,133,64,711,0.311,204.0,5,3533.37
2024-01-28,Display,145,118,55,412,0.7198,246.9,5,3407.45
2024-01-29,Organic Search,1362,996,690,4959,0.489,236.8,37,28153.7
2024-01-29,Paid Search,865,711,352,3822,0.4817,296.8,11,2317.01
2024-01-29,Social Media,556,414,219,2114,0.4453,304.6,30,22125.95
2024-01-29,Direct,492,404,237,1181,0.4272,198.7,17,4132.77
2024-01-29,Email,401,298,183,1535,0.5542,279.1,15,10836.34
2024-01-29,Referral,266,193,117,926,0.5735,259.4,8,4691.71
2024-01-29,Display,221,181,94,971,0.5028,269.2,9,3034.14
2024-01-30,Organic Search,1088,793,444,3549,0.3857,217.7,27,17398.93
2024-01-30,Paid Search,859,736,510,2073,0.4556,206.0,22,10131.55
2024-01-30,Social Media,580,440,208,1621,0.4613,220.0,12,9020.09
2024-01-30,Direct,480,370,219,1368,0.6205,189.5,17,8229.61
2024-01-30,Email,336,243,166,1113,0.706,115.9,9,1412.05
2024-01-30,Referral,311,267,163,1004,0.5254,280.3,9,6877.73
2024-01-30,Display,238,200,108,728,0.5395,110.6,8,1389.43
2024-01-31,Organic Search,1256,1057,549,5619,0.5858,90.9,73,29751.13
2024-01-31,Paid Search,877,679,464,3430,0.3836,192.4,30,4592.14
2024-01-31,Social Media,558,431,244,1783,0.5546,194.0,14,7945.56
2024-01-31,Direct,483,424,269,1361,0.4413,275.4,17,10835.46
2024-01-31,Email,336,285,154,1248,0.7116,211.8,16,10391.79
2024-01-31,Referral,331,239,135,1463,0.6288,261.8,12,7759.46
2024-01-31,Display,229,171,103,821,0.6533,98.4,10,1430.46
2024-02-01,Organic Search,1431,1055,479,4082,0.3636,239.5,43,29486.38
2024-02-01,Paid Search,913,784,497,2053,0.358,113.9,23,13878.79
2024-02-01,Social Media,635,489,241,2723,0.4438,152.1,30,19388.25
2024-02-01,Direct,563,467,281,1442,0.4035,205.1,11,9132.47
2024-02-01,Email,338,258,129,1281,0.4332,150.7,19,13312.27
2024-02-01,Referral,293,216,133,882,0.7117,272.8,16,11317.91
2024-02-01,Display,211,161,101,618,0.4858,126.7,7,1872.57
2024-02-02,Organic Search,1281,1113,694,3112,0.5586,212.6,28,17051.41
2024-02-02,Paid Search,822,675,312,2541,0.6013,86.1,39,4827.52
2024-02-02,Social Media,643,558,307,2793,0.6689,184.1,12,9883.89
2024-02-02,Direct,513,422,285,1187,0.5411,199.1,23,18486.68
2024-02-02,Email,406,303,203,1023,0.6862,319.3,12,5779.56
2024-02-02,Referral,358,312,212,1505,0.3039,207.7,5,4187.93
2024-02-02,Display,211,185,108,693,0.6942,281.3,7,1825.27
2024-02-03,Organic Search,731,545,307,1986,0.3782,251.5,36,19241.29
2024-02-03,Paid Search,572,427,283,2432,0.6473,194.0,8,4868.45
2024-02-03,Social Media,374,277,147,1008,0.4095,121.2,17,13879.57
2024-02-03,Direct,333,278,125,1221,0.591,76.2,5,1719.84
2024-02-03,Email,229,183,123,867,0.4306,90.5,12,4024.53
2024-02-03,Referral,213,160,77,525,0.614,217.5,6,3125.65
2024-02-03,Display,146,117,72,383,0.4039,256.2,7,1258.36
2024-02-04,Organic Search,818,681,319,2825,0.3259,202.4,28,15066.02
2024-02-04,Paid Search,478,369,214,1137,0.3863,211.6,6,2955.44
2024-02-04,Social Media,454,359,207,1451,0.3242,180.2,22,14255.88
2024-02-04,Direct,345,293,186,1203,0.319,149.6,4,3382.84
2024-02-04,Email,268,195,133,583,0.4717,259.9,12,10010.2
2024-02-04,Referral,216,170,118,651,0.6652,295.8,6,3710.36
2024-02-04,Display,155,124,76,454,0.375,199.7,5,3256.68
2024-02-05,Organic Search,1180,850,387,3322,0.5829,201.6,43,31005.28
2024-02-05,Paid Search,765,593,307,3327,0.6045,89.3,38,16189.73
2024-02-05,Social Media,695,598,271,1803,0.3424,68.7,27,17101.77
2024-02-05,Direct,477,399,219,1269,0.3913,284.6,6,2927.06
2024-02-05,Email,344,292,184,985,0.5511,234.9,8,2722.3
2024-02-05,Referral,287,236,119,809,0.3256,306.6,15,11781.78
2024-02-05,Display,238,187,107,1055,0.6955,234.5,11,3879.44
2024-02-06,Organic Search,1262,938,510,4935,0.4989,280.8,31,19732.46
2024-02-06,Paid Search,908,786,464,4015,0.5341,94.9,20,5368.72
2024-02-06,Social Media,675,585,387,1567,0.6043,109.5,15,9176.71
2024-02-06,Direct,572,491,244,2246,0.6042,205.3,19,14339.6
2024-02-06,Email,351,306,138,1526,0.7041,90.5,21,9861.86
2024-02-06,Referral,298,243,121,1280,0.5319,261.6,8,4076.52
2024-02-06,Display,221,168,97,727,0.3414,315.1,7,5131.03
2024-02-07,Organic Search,1463,1140,630,5047,0.3929,97.9,33,26478.33
2024-02-07,Paid Search,856,673,328,2475,0.4595,276.7,29,17338.05
2024-02-07,Social Media,687,522,342,3036,0.5695,187.6,12,8403.99
2024-02-07,Direct,502,419,239,2158,0.5277,226.9,6,868.15
2024-02-07,Email,410,357,220,1613,0.4732,279.1,8,5089.87
2024-02-07,Referral,277,221,120,992,0.58,220.3,9,4285.2
2024-02-07,Display,198,160,72,667,0.4154,314.1,2,1427.21
2024-02-08,Organic Search,1377,1169,791,3245,0.3405,98.7,26,13112.13
2024-02-08,Paid Search,921,702,385,2758,0.4705,206.9,54,15383.29
2024-02-08,Social Media,690,590,361,2870,0.619,84.3,19,9945.97
2024-02-08,Direct,486,350,172,1603,0.4822,263.9,18,13433.6
2024-02-08,Email,328,263,121,855,0.6646,290.8,11,1693.89
2024-02-08,Referral,285,247,166,983,0.3138,301.5,7,5753.11
2024-02-08,Display,239,200,125,730,0.3323,102.2,5,3646.47
2024-02-09,Organic Search,1272,1098,585,4977,0.3588,317.0,58,28163.57
2024-02-09,Paid Search,966,703,393,3972,0.443,259.9,55,22527.63
2024-02-09,Social Media,711,515,266,3186,0.5061,152.5,40,17409.96
2024-02-09,Direct,594,490,230,2129,0.6352,245.4,8,1860.65
2024-02-09,Email,399,327,207,1141,0.3448,61.4,10,3827.4
2024-02-09,Referral,306,226,112,972,0.533,166.1,3,1135.07
2024-02-09,Display,206,168,89,623,0.4226,160.8,2,1555.66
2024-02-10,Organic Search,964,844,500,2416,0.4599,96.1,24,11519.53
2024-02-10,Paid Search,480,378,209,1565,0.3323,125.4,10,5762.75
2024-02-10,Social Media,441,331,157,1248,0.6985,146.4,18,12725.56
2024-02-10,Direct,349,269,175,1452,0.7092,95.4,9,7303.62
2024-02-10,Email,223,171,118,986,0.4224,240.7,7,3782.74
2024-02-10,Referral,198,154,100,602,0.3478,206.6,7,3628.16
2024-02-10,Display,161,130,89,516,0.5975,174.0,3,1877.31
2024-02-11,Organic Search,947,802,442,3123,0.566,122.9,40,25684.9
2024-02-11,Paid Search,604,442,308,1963,0.4683,191.7,33,20623.27
2024-02-11,Social Media,438,370,199,1861,0.5255,225.9,6,4088.02
2024-02-11,Direct,388,301,184,856,0.7131,236.1,11,7364.04
2024-02-11,Email,281,221,100,764,0.5145,194.9,10,5399.22
2024-02-11,Referral,212,165,106,744,0.5102,149.7,2,392.64
2024-02-11,Display,150,131,62,653,0.3595,141.1,4,1084.05
2024-02-12,Organic Search,1331,1059,592,5020,0.4339,138.1,67,13668.82
2024-02-12,Paid Search,950,782,484,2369,0.7132,123.4,17,4027.28
2024-02-12,Social Media,681,594,301,2092,0.3775,226.5,21,2967.52
2024-02-12,Direct,593,445,266,1798,0.596,113.5,28,19890.44
2024-02-12,Email,332,244,162,846,0.4369,179.0,7,5248.07
2024-02-12,Referral,337,277,165,1202,0.5465,150.5,17,9701.47
2024-02-12,Display,261,217,113,933,0.3356,94.8,4,1371.71
2024-02-13,Organic Search,1218,1012,584,3780,0.3579,159.8,23,13430.07
2024-02-13,Paid Search,916,754,527,3143,0.5056,96.5,23,10332.31
2024-02-13,Social Media,583,453,204,1415,0.6424,310.6,20,9626.56
2024-02-13,Direct,609,478,315,1993,0.3347,68.0,29,9663.54
2024-02-13,Email,358,288,141,1144,0.6119,259.1,13,2634.37
2024-02-13,Referral,297,250,163,885,0.6455,70.8,13,6744.89
2024-02-13,Display,275,202,132,1073,0.425,319.8,8,2995.69
2024-02-14,Organic Search,1482,1171,817,5870,0.3995,270.8,58,21805.71
2024-02-14,Paid Search,925,759,373,2251,0.3868,113.8,11,4137.05
2024-02-14,Social Media,632,509,270,2395,0.4215,129.5,33,27700.41
2024-02-14,Direct,611,449,310,2435,0.6859,318.0,32,6804.11
2024-02-14,Email,429,326,204,1753,0.6198,235.8,14,7581.29
2024-02-14,Referral,314,246,138,1136,0.6697,84.2,11,3554.15
2024-02-14,Display,273,212,145,787,0.301,261.3,12,7842.96
2024-02-15,Organic Search,1345,1111,599,3028,0.5245,116.6,42,11535.37
2024-02-15,Paid Search,814,693,370,2838,0.5378,186.2,22,13601.78
2024-02-15,Social Media,588,432,279,1883,0.3522,283.0,18,2168.88
2024-02-15,Direct,664,499,310,1604,0.573,101.3,37,11841.27
2024-02-15,Email,407,309,167,1737,0.3695,163.0,10,6305.92
2024-02-15,Referral,313,258,161,658,0.5003,94.5,6,3698.32
2024-02-15,Display,207,172,112,925,0.4774,94.4,2,799.28
2024-02-16,Organic Search,1465,1078,569,6174,0.3576,261.1,69,14986.58
2024-02-16,Paid Search,1011,751,437,2143,0.573,174.4,46,26610.93
2024-02-16,Social Media,613,481,299,2552,0.3364,86.1,29,15961.28
2024-02-16,Direct,566,494,261,1378,0.4163,81.9,21,11718.12
2024-02-16,Email,404,341,212,1670,0.5765,138.4,14,6887.32
2024-02-16,Referral,368,282,130,1565,0.701,188.7,5,2423.48
2024-02-16,Display,251,201,139,1121,0.6922,94.3,13,6953.93
2024-02-17,Organic Search,859,712,456,3771,0.6236,64.3,11,3425.35
2024-02-17,Paid Search,496,361,233,1644,0.564,190.3,15,9484.83
2024-02-17,Social Media,391,315,190,1081,0.4302,192.9,7,4969.19
2024-02-17,Direct,388,303,184,1591,0.586,77.2,17,11098.78
2024-02-17,Email,282,205,96,886,0.4904,218.3,7,4630.05
2024-02-17,Referral,240,177,110,908,0.3688,307.8,8,5532.64
2024-02-17,Display,170,126,60,675,0.4129,290.5,8,1131.44
2024-02-18,Organic Search,983,750,349,3744,0.5422,80.0,32,12252.49
2024-02-18,Paid Search,578,468,253,1567,0.3432,209.2,26,7455.12
2024-02-18,Social Media,451,327,217,1211,0.4981,159.6,7,5598.23
2024-02-18,Direct,427,345,234,1655,0.4761,143.7,13,8395.53
2024-02-18,Email,239,175,95,789,0.6788,106.6,12,10037.19
2024-02-18,Referral,255,186,105,708,0.6548,145.1,9,1132.36
2024-02-18,Display,146,118,62,524,0.4948,213.8,5,3420.04
2024-02-19,Organic Search,1266,1093,699,3403,0.3027,166.6,27,10068.01
2024-02-19,Paid Search,987,849,583,2076,0.5761,280.7,45,8814.73
2024-02-19,Social Media,703,532,304,1577,0.7187,245.0,10,7925.3
2024-02-19,Direct,668,536,335,1999,0.7093,82.1,9,1957.19
2024-02-19,Email,436,319,188,1370,0.705,121.6,10,3499.57
2024-02-19,Referral,380,316,200,1088,0.4142,79.4,7,4825.48
2024-02-19,Display,255,189,92,820,0.4707,199.3,14,3802.04
2024-02-20,Organic Search,1322,1007,483,3276,0.5881,274.9,59,8817.0
2024-02-20,Paid Search,992,766,362,2674,0.4494,193.5,43,13326.64
2024-02-20,Social Media,804,582,320,2560,0.6142,125.0,26,18377.96
2024-02-20,Direct,536,386,253,2389,0.3549,274.2,15,8701.76
2024-02-20,Email,418,339,174,1693,0.3092,76.8,23,10205.21
2024-02-20,Referral,311,268,176,900,0.3179,179.9,5,2694.68
2024-02-20,Display,274,214,97,1024,0.3726,115.8,5,1621.47
2024-02-21,Organic Search,1573,1141,690,4231,0.4239,167.1,59,9706.37
2024-02-21,Paid Search,847,628,313,3577,0.5208,224.0,42,29409.99
2024-02-21,Social Media,809,683,368,2756,0.5036,297.3,28,11298.51
2024-02-21,Direct,546,420,211,2320,0.627,75.2,32,16207.54
2024-02-21,Email,435,382,264,1018,0.5759,129.3,22,17371.19
2024-02-21,Referral,305,268,135,1260,0.6349,152.2,15,11055.17
2024-02-21,Display,227,184,119,856,0.6839,67.3,10,8117.18
2024-02-22,Organic Search,1446,1171,582,6465,0.6703,188.0,36,17208.67
2024-02-22,Paid Search,800,605,305,2690,0.3003,298.7,16,3444.12
2024-02-22,Social Media,755,654,432,2171,0.3092,212.5,42,28782.08
2024-02-22,Direct,671,575,396,2010,0.6956,162.9,10,3402.89
2024-02-22,Email,361,269,184,1444,0.7035,228.8,6,4963.09
2024-02-22,Referral,375,325,210,988,0.5474,105.6,9,5603.43
2024-02-22,Display,225,188,129,984,0.4645,318.5,13,1867.31
2024-02-23,Organic Search,1471,1275,882,3868,0.5375,303.5,25,16602.52
2024-02-23,Paid Search,845,741,364,3569,0.3373,244.3,35,26854.0
2024-02-23,Social Media,702,535,274,1588,0.4078,88.1,7,2812.14
2024-02-23,Direct,654,572,383,2147,0.4591,202.0,9,4230.24
2024-02-23,Email,452,372,231,1125,0.331,279.9,11,3879.3
2024-02-23,Referral,405,296,145,1215,0.6074,202.2,22,4135.26
2024-02-23,Display,262,214,122,569,0.6958,102.9,14,3285.6
2024-02-24,Organic Search,822,618,307,3101,0.6033,249.8,19,6184.73
2024-02-24,Paid Search,553,402,238,2275,0.3645,153.8,17,5695.36
2024-02-24,Social Media,489,399,199,1057,0.3717,135.9,6,4415.71
2024-02-24,Direct,377,295,168,1389,0.3383,201.5,7,5364.87
2024-02-24,Email,256,202,104,823,0.395,129.8,3,2007.39
2024-02-24,Referral,245,179,95,832,0.7077,213.3,9,6604.04
